date,Month,Day,calender day,Day_C,Year ,item,TotalSales10
1/1/2013,1,1,Tuesday,2,2013,1,133
1/2/2013,1,2,Wednesday,3,2013,1,99
1/3/2013,1,3,Thursday,4,2013,1,127
1/4/2013,1,4,Friday,5,2013,1,145
1/5/2013,1,5,Saturday,6,2013,1,149
1/6/2013,1,6,Sunday,7,2013,1,149
1/7/2013,1,7,Monday,1,2013,1,92
1/8/2013,1,8,Tuesday,2,2013,1,119
1/9/2013,1,9,Wednesday,3,2013,1,114
1/10/2013,1,10,Thursday,4,2013,1,103
1/11/2013,1,11,Friday,5,2013,1,139
1/12/2013,1,12,Saturday,6,2013,1,126
1/13/2013,1,13,Sunday,7,2013,1,170
1/14/2013,1,14,Monday,1,2013,1,92
1/15/2013,1,15,Tuesday,2,2013,1,121
1/16/2013,1,16,Wednesday,3,2013,1,116
1/17/2013,1,17,Thursday,4,2013,1,122
1/18/2013,1,18,Friday,5,2013,1,122
1/19/2013,1,19,Saturday,6,2013,1,139
1/20/2013,1,20,Sunday,7,2013,1,153
1/21/2013,1,21,Monday,1,2013,1,94
1/22/2013,1,22,Tuesday,2,2013,1,96
1/23/2013,1,23,Wednesday,3,2013,1,126
1/24/2013,1,24,Thursday,4,2013,1,102
1/25/2013,1,25,Friday,5,2013,1,126
1/26/2013,1,26,Saturday,6,2013,1,124
1/27/2013,1,27,Sunday,7,2013,1,131
1/28/2013,1,28,Monday,1,2013,1,111
1/29/2013,1,29,Tuesday,2,2013,1,129
1/30/2013,1,30,Wednesday,3,2013,1,108
1/31/2013,1,31,Thursday,4,2013,1,117
2/1/2013,2,1,Friday,5,2013,1,148
2/2/2013,2,2,Saturday,6,2013,1,168
2/3/2013,2,3,Sunday,7,2013,1,173
2/4/2013,2,4,Monday,1,2013,1,126
2/5/2013,2,5,Tuesday,2,2013,1,121
2/6/2013,2,6,Wednesday,3,2013,1,113
2/7/2013,2,7,Thursday,4,2013,1,140
2/8/2013,2,8,Friday,5,2013,1,130
2/9/2013,2,9,Saturday,6,2013,1,154
2/10/2013,2,10,Sunday,7,2013,1,151
2/11/2013,2,11,Monday,1,2013,1,111
2/12/2013,2,12,Tuesday,2,2013,1,127
2/13/2013,2,13,Wednesday,3,2013,1,133
2/14/2013,2,14,Thursday,4,2013,1,123
2/15/2013,2,15,Friday,5,2013,1,120
2/16/2013,2,16,Saturday,6,2013,1,154
2/17/2013,2,17,Sunday,7,2013,1,179
2/18/2013,2,18,Monday,1,2013,1,107
2/19/2013,2,19,Tuesday,2,2013,1,104
2/20/2013,2,20,Wednesday,3,2013,1,129
2/21/2013,2,21,Thursday,4,2013,1,136
2/22/2013,2,22,Friday,5,2013,1,142
2/23/2013,2,23,Saturday,6,2013,1,158
2/24/2013,2,24,Sunday,7,2013,1,185
2/25/2013,2,25,Monday,1,2013,1,111
2/26/2013,2,26,Tuesday,2,2013,1,132
2/27/2013,2,27,Wednesday,3,2013,1,129
2/28/2013,2,28,Thursday,4,2013,1,159
3/1/2013,3,1,Friday,5,2013,1,164
