sn,date,Month,Day,calender day,Day_C,Year ,item,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,Day_C_1,Day_C_2,Day_C_3,Day_C_4,Day_C_5,Day_C_6,Day_C_7,4 days,3 days,2 days,1 day,TotalSales
4,1/5/2013,1,5,Saturday,6,2013,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,133,99,127,145,149
5,1/6/2013,1,6,Sunday,7,2013,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99,127,145,149,149
6,1/7/2013,1,7,Monday,1,2013,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,127,145,149,149,92
7,1/8/2013,1,8,Tuesday,2,2013,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,145,149,149,92,119
8,1/9/2013,1,9,Wednesday,3,2013,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,149,149,92,119,114
9,1/10/2013,1,10,Thursday,4,2013,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,149,92,119,114,103
10,1/11/2013,1,11,Friday,5,2013,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,92,119,114,103,139
11,1/12/2013,1,12,Saturday,6,2013,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,119,114,103,139,126
12,1/13/2013,1,13,Sunday,7,2013,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,114,103,139,126,170
13,1/14/2013,1,14,Monday,1,2013,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,103,139,126,170,92
14,1/15/2013,1,15,Tuesday,2,2013,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,139,126,170,92,121
15,1/16/2013,1,16,Wednesday,3,2013,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,126,170,92,121,116
16,1/17/2013,1,17,Thursday,4,2013,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,170,92,121,116,122
17,1/18/2013,1,18,Friday,5,2013,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,92,121,116,122,122
18,1/19/2013,1,19,Saturday,6,2013,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,121,116,122,122,139
19,1/20/2013,1,20,Sunday,7,2013,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,116,122,122,139,153
20,1/21/2013,1,21,Monday,1,2013,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,122,122,139,153,94
21,1/22/2013,1,22,Tuesday,2,2013,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,122,139,153,94,96
22,1/23/2013,1,23,Wednesday,3,2013,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,139,153,94,96,126
23,1/24/2013,1,24,Thursday,4,2013,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,153,94,96,126,102
24,1/25/2013,1,25,Friday,5,2013,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,94,96,126,102,126
25,1/26/2013,1,26,Saturday,6,2013,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,96,126,102,126,124
26,1/27/2013,1,27,Sunday,7,2013,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,126,102,126,124,131
27,1/28/2013,1,28,Monday,1,2013,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,102,126,124,131,111
28,1/29/2013,1,29,Tuesday,2,2013,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,126,124,131,111,129
29,1/30/2013,1,30,Wednesday,3,2013,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,124,131,111,129,108
30,1/31/2013,1,31,Thursday,4,2013,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,131,111,129,108,117
31,2/1/2013,2,1,Friday,5,2013,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,111,129,108,117,148
32,2/2/2013,2,2,Saturday,6,2013,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,129,108,117,148,168
33,2/3/2013,2,3,Sunday,7,2013,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,108,117,148,168,173
34,2/4/2013,2,4,Monday,1,2013,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,117,148,168,173,126
35,2/5/2013,2,5,Tuesday,2,2013,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,148,168,173,126,121
36,2/6/2013,2,6,Wednesday,3,2013,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,168,173,126,121,113
37,2/7/2013,2,7,Thursday,4,2013,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,173,126,121,113,140
38,2/8/2013,2,8,Friday,5,2013,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,126,121,113,140,130
